event_type,horizon,symbol,orientation,year,mean_reversal_return,economic_threshold_applicable,economic_threshold_passed,reason
EVENT-06,5min,SPY,short_reversal,2024,-2.298207142953731e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,QQQ,short_reversal,2022,-0.00011083620454864977,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,QQQ,short_reversal,2023,-0.00041338428846089995,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,QQQ,short_reversal,2024,-0.00036201072018353516,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,SPY,short_reversal,2022,-0.0002047065175400569,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,SPY,short_reversal,2023,0.00023295385130447618,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,SPY,short_reversal,2024,6.69513498406774e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,QQQ,short_reversal,2022,0.0005184902785383405,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,QQQ,short_reversal,2023,-0.0013773602324821347,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,QQQ,short_reversal,2024,-0.0005383230839509977,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,SPY,short_reversal,2022,-0.0004939825625037996,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,SPY,short_reversal,2023,-0.0005973116311694732,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,SPY,short_reversal,2024,-0.0005440540114284309,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,QQQ,long_reversal,2022,-0.00031695694122932665,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,QQQ,long_reversal,2023,-0.00037432184779912295,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,QQQ,long_reversal,2024,-0.00039039224222257656,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,SPY,long_reversal,2022,-0.0004952249289017741,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,SPY,long_reversal,2023,-0.0001445221420013201,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,SPY,long_reversal,2024,-0.0002724159817937144,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,QQQ,long_reversal,2022,-0.0005238899072918299,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,QQQ,long_reversal,2023,-0.0004118967804785751,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,QQQ,long_reversal,2024,-0.00041520230560348066,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,SPY,long_reversal,2022,-0.00061470196630229,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,SPY,long_reversal,2023,-0.0002548880275964512,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,SPY,long_reversal,2024,-0.00041312830680433304,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,QQQ,long_reversal,2022,-0.0002908541657761208,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,QQQ,long_reversal,2023,-0.00023640487400680612,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,QQQ,long_reversal,2024,-0.00023123925269333457,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,SPY,long_reversal,2022,-0.00020100550948639736,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,SPY,long_reversal,2023,-0.00012605074267802745,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,SPY,long_reversal,2024,-0.00011133090061150773,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,QQQ,long_reversal,2022,-0.00024209567634620797,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,QQQ,long_reversal,2023,-0.000496517097392769,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,QQQ,long_reversal,2024,-0.000496742718427407,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,SPY,long_reversal,2022,-0.0006947156528748833,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,SPY,long_reversal,2023,-0.0004344389721688361,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,SPY,long_reversal,2024,-0.00047670884732184794,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,QQQ,long_reversal,2022,-0.0012655713973169413,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,QQQ,long_reversal,2023,6.472861437643113e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,QQQ,long_reversal,2024,-0.0006749555345340887,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,SPY,long_reversal,2022,-0.0013462685602035642,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,SPY,long_reversal,2023,-7.86400121261257e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,SPY,long_reversal,2024,-0.0003100795599202976,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,QQQ,short_reversal,2022,-0.0006405877163035043,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,QQQ,short_reversal,2023,-0.00035635022991006187,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,QQQ,short_reversal,2024,-0.0003817355669220827,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,SPY,short_reversal,2022,-0.0003160398123098318,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,SPY,short_reversal,2023,-0.0001356001438437091,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,SPY,short_reversal,2024,-0.00015366747474136787,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,QQQ,short_reversal,2022,-0.0004562544004218057,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,QQQ,short_reversal,2023,-0.00023184472684224875,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,QQQ,short_reversal,2024,-0.0005024372178577264,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,SPY,short_reversal,2022,-0.0005899960505109137,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,SPY,short_reversal,2023,-6.291752607231861e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
